Name,Class,Type/Variety,Sun Need,Water Every,Water Amount,Care Notes
Braided hibiscus,flowering plant,Hibiscus,full sun,3 days,Deep soak,"Check soil before watering; protect from cold; deadhead spent blooms; potted plants dry faster."
Hydrangea,flowering plant,Hydrangea,part shade,3 days,Deep soak,"Mulch; protect from afternoon heat; water deeply during dry spells."
Rose,flowering plant,Rose,full sun,3 days,Deep soak,"Deadhead; prune for airflow; watch for black spot and Japanese beetles."
Azalea,flowering plant,Azalea,part shade,1 week,Deep soak,"Prefers acidic soil; mulch lightly; avoid drying out during bloom."
Rhododendron,flowering plant,Rhododendron,part shade,1 week,Deep soak,"Prefers acidic soil; shallow roots; mulch but keep mulch off trunk."
Daylily,flowering plant,Daylily,full sun,1 week,Deep soak,"Deadhead if desired; divide clumps when crowded."
Coneflower,flowering plant,Echinacea,full sun,1 week,Moderate soak,"Drought tolerant once established; leave seed heads for birds."
Black-eyed Susan,flowering plant,Rudbeckia,full sun,1 week,Moderate soak,"Deadhead for rebloom; can self-seed."
Salvia,flowering plant,Salvia,full sun,1 week,Moderate soak,"Deadhead; attracts pollinators; avoid soggy soil."
Lavender,flowering plant,Lavender,full sun,2 weeks,Light,"Needs excellent drainage; avoid overwatering; prune lightly after flowering."
Marigold,flowering plant,Marigold,full sun,3 days,Moderate soak,"Deadhead; good companion plant; tolerates heat."
Petunia,flowering plant,Petunia,full sun,2 days,Moderate soak,"Deadhead or trim back; fertilize containers periodically."
Impatiens,flowering plant,Impatiens,shade,2 days,Moderate soak,"Good shade annual; wilts quickly when dry."
Begonia,flowering plant,Begonia,part shade,3 days,Moderate soak,"Avoid wet leaves; good for containers and shade."
Geranium,flowering plant,Geranium/Pelargonium,full sun,3 days,Moderate soak,"Deadhead; allow soil surface to dry slightly."
Zinnia,flowering plant,Zinnia,full sun,3 days,Moderate soak,"Deadhead; water at soil level; attracts butterflies."
Dahlia,flowering plant,Dahlia,full sun,3 days,Deep soak,"Stake tall varieties; deadhead; dig tubers before hard freeze if needed."
Peony,flowering plant,Peony,full sun,1 week,Deep soak,"Support blooms; avoid planting too deep; cut foliage back after frost."
Iris,flowering plant,Iris,full sun,1 week,Moderate soak,"Keep rhizomes partly exposed; divide when crowded."
Tulip,flowering plant,Tulip,full sun,2 weeks,Moderate soak,"Spring bulb; allow foliage to yellow before cutting."
Daffodil,flowering plant,Daffodil,full sun,2 weeks,Moderate soak,"Spring bulb; deer resistant; let foliage die back naturally."
Hosta,green plant,Hosta,part shade,1 week,Deep soak,"Mulch; protect from deer and slugs; prefers consistent moisture."
Fern,green plant,Fern,shade,3 days,Moderate soak,"Prefers moist soil and shade; avoid drying out."
